Name,RA (J2000),Dec (J2000)
M27 (Dumbbell),19 59 36.31,22 43 16.00
M57/NGC 6720 (Ring),18 53 35.07,33 01 45.00
M76 (Little Dumbbell/Butterfly),01 42 21.78,51 34 31.00
NGC 6543 (Cat’s Eye),17 48 33.42,66 37 59.50
NGC 5979,15 40 39.81,-61 13 03.90
NGC 6629,18 24 14.36,-11 32 53.60
NGC 6578,18 15 14.93,-21 39 58.70
NGC 2022,05 42 06.12,09 05 06.90
IRAS 17150-3224 (Cotton Candy),17 18 12.00,-32 27 48.00
IRAS 17441-2411 (Silkworm),17 47 03.00,-24 15 24.00
IRAS 16594-4656 (Water Lily),17 02 44.00,-46 59 00.00
IRAS 17245-3951 (Walnut),17 27 47.00,-39 54 36.00
AFGL 2688 (Egg),21 02 17.56,36 29 01.30
PN M 1-41,17 55 29.53,-29 33 42.10
NGC 7293 (Helix),22 29 38.56,-20 48 03.90
IPHAS PN-1 (Príncipes de Asturias),21 14 23.33,45 08 21.00
NGC 6302 (Bug/Butterfly),17 13 44.21,-37 06 12.30
NGC 2346 (Butterfly),07 09 22.33,-00 07 15.00
Hen 3-401,17 13 47.79,-37 18 23.00
IRAS 17106-3046,17 13 38.74,-30 49 40.20
Hen 2-320,18 12 45.42,-11 31 58.70
M1-92 (Minkowski’s Footprint),19 36 18.90,29 32 49.99
AFGL 618 (The Veiled Star/CRL 618),04 39 39.38,36 06 53.00
NGC 6369 (Little Ghost),17 29 20.31,-23 45 22.00
NGC 7027 (Jewel Box),21 05 09.58,42 14 10.20
He 2-47,10 23 09.10,-60 32 42.22
M1-37 (Menzel 1-37),18 05 25.80,-28 22 04.19
He 2-113,14 59 53.50,-54 18 07.20
NGC 6881,20 10 52.50,37 24 42.70
Hubble 12,23 26 14.82,58 10 54.50
CRL 915 (Red Rectangle Proto-planetary),06 19 58.21,-10 38 14.71
IRAS 18443-0231,18 46 55.18,-02 27 07.90
IRAS 18551+0159,18 57 37.70,02 03 39.71
IRAS 18554+0203,18 57 59.60,02 07 07.39